Run,Hexacontroller,Aligner_Global_tmr_err_cnt_aligner,ChAligner_00_tmr_err_cnt_chan_aligner,ChAligner_00_tmr_err_cnt_chan_err,ChAligner_00_tmr_err_cnt_chan_eprxgrp,ChAligner_01_tmr_err_cnt_chan_aligner,ChAligner_01_tmr_err_cnt_chan_err,ChAligner_01_tmr_err_cnt_chan_eprxgrp,ChAligner_02_tmr_err_cnt_chan_aligner,ChAligner_02_tmr_err_cnt_chan_err,ChAligner_02_tmr_err_cnt_chan_eprxgrp,ChAligner_03_tmr_err_cnt_chan_aligner,ChAligner_03_tmr_err_cnt_chan_err,ChAligner_03_tmr_err_cnt_chan_eprxgrp,ChAligner_04_tmr_err_cnt_chan_aligner,ChAligner_04_tmr_err_cnt_chan_err,ChAligner_04_tmr_err_cnt_chan_eprxgrp,ChAligner_05_tmr_err_cnt_chan_aligner,ChAligner_05_tmr_err_cnt_chan_err,ChAligner_05_tmr_err_cnt_chan_eprxgrp,ChAligner_06_tmr_err_cnt_chan_aligner,ChAligner_06_tmr_err_cnt_chan_err,ChAligner_06_tmr_err_cnt_chan_eprxgrp,ChAligner_07_tmr_err_cnt_chan_aligner,ChAligner_07_tmr_err_cnt_chan_err,ChAligner_07_tmr_err_cnt_chan_eprxgrp,ChAligner_08_tmr_err_cnt_chan_aligner,ChAligner_08_tmr_err_cnt_chan_err,ChAligner_08_tmr_err_cnt_chan_eprxgrp,ChAligner_09_tmr_err_cnt_chan_aligner,ChAligner_09_tmr_err_cnt_chan_err,ChAligner_09_tmr_err_cnt_chan_eprxgrp,ChAligner_10_tmr_err_cnt_chan_aligner,ChAligner_10_tmr_err_cnt_chan_err,ChAligner_10_tmr_err_cnt_chan_eprxgrp,ChAligner_11_tmr_err_cnt_chan_aligner,ChAligner_11_tmr_err_cnt_chan_err,ChAligner_11_tmr_err_cnt_chan_eprxgrp,ClocksAndResets_Global_tmr_err_cnt_clocks_and_resets,ELinkProcessors_Global_tmr_err_cnt_elink_processors,ERx_Global_tmr_err_cnt_erx,ETx_Global_tmr_err_cnt_etx,EprxGrpTop_Global_tmr_err_cnt_eprxgrp_top,ErrTop_Global_tmr_err_cnt_err_top,FCtrl_Global_tmr_err_cnt_fast_ctrl_decoder,FormatterBuffer_Global_tmr_err_cnt_formatter_buffer,Misc_TMRErrCnt_Global_tmr_err_cnt_misc,PingPongSRAM_Global_tmr_err_cnt_bist_ctrl,RocDaqCtrl_Global_tmr_err_cnt_roc_daq_ctrl,Watchdog_Misc_Global_tmr_err_cnt_reset_request,ZS_Global_tmr_err_cnt_zero_suppress,ZSmOne_Global_tmr_err_cnt_zero_suppress_m
01,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,15
02,44,4,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,5,0,1,2,4,0,0,0,9,97,79
03,44,5,7,0,0,2,1,0,3,0,1,5,0,0,3,0,0,4,1,1,7,0,0,5,0,0,5,0,1,5,0,1,1,0,0,4,0,0,8,15,7,5,1,1,1,8,0,0,4,24,378,268
04,44,15,14,0,1,16,0,0,15,1,0,14,0,1,16,0,0,15,1,0,12,1,3,10,1,0,9,0,0,16,0,0,9,0,0,11,2,0,14,32,11,13,5,3,4,23,0,0,12,64,939,707
05,44,20,18,1,1,26,1,1,19,1,0,25,3,1,23,1,1,20,1,0,9,0,1,18,0,0,23,2,1,15,3,0,10,1,1,17,1,0,21,53,14,39,2,2,4,26,2,1,19,103,1460,1087
06,44,57,53,1,2,43,0,2,31,2,1,41,0,2,33,0,6,43,1,4,38,3,3,39,5,0,37,1,1,40,1,2,35,3,2,43,1,2,67,67,45,64,7,9,7,52,1,2,32,193,3091,2222
07,44,1,0,0,1,2,0,0,1,0,0,0,0,0,5,0,1,2,0,0,4,0,0,3,0,1,2,0,0,3,0,0,2,0,0,1,1,0,4,7,1,0,0,1,0,1,0,0,1,7,174,142
08,44,17,16,0,1,21,1,4,21,1,1,24,2,0,19,3,0,18,1,0,22,0,1,19,0,2,17,0,0,20,1,3,23,0,0,20,0,0,15,36,16,30,5,0,5,26,1,0,10,82,1430,1093
09,44,81,56,5,6,44,3,2,50,6,6,52,1,1,44,2,4,52,4,1,62,4,6,59,1,3,48,1,4,57,8,1,68,3,3,60,0,3,72,123,59,112,4,13,8,68,3,3,57,259,4296,3298
10,44,19,13,1,0,18,1,0,12,0,0,16,1,1,25,2,1,28,3,1,24,2,2,16,0,0,21,1,2,22,0,0,13,1,3,22,1,1,26,38,23,22,2,4,5,24,0,1,19,91,1428,1069
11,44,258,180,16,8,186,9,9,176,11,13,184,9,12,190,11,10,209,7,16,211,10,17,194,6,7,170,8,8,198,6,7,188,8,12,195,6,10,225,420,158,327,49,38,44,314,8,7,167,892,15117,11219
12,44,254,197,11,7,184,14,8,189,7,11,195,11,5,210,14,11,202,15,10,204,3,9,218,4,11,199,9,9,182,8,15,204,9,5,181,12,7,273,416,178,357,40,37,46,287,13,14,191,892,15554,11439
