Hexa44 Power Supply (Chip 1): Agilent Technologies,E3648A,0,1.7-5.0-1.0
    Limits: Voltage=1.2200, Current=0.6000
Hexa48 Power Supply (Chip 4): Agilent Technologies,E3642A,0,1.6-5.0-1.0
    Limits: Voltage=1.2400, Current=0.6000
2023-08-05 10:03:58.976544 Hexa44 Chip 1 Power: On, Voltage=1.22107, Current=0.26034, Power=0.31790
2023-08-05 10:03:58.976544 Hexa48 Chip 4 Power: On, Voltage=1.23657, Current=0.26303, Power=0.32525
2023-08-05 10:04:01.874822 Hexa44 Chip 1 Power: On, Voltage=1.22109, Current=0.26036, Power=0.31792
2023-08-05 10:04:01.874822 Hexa48 Chip 4 Power: On, Voltage=1.23649, Current=0.26305, Power=0.32526
2023-08-05 10:04:04.777846 Hexa44 Chip 1 Power: On, Voltage=1.22117, Current=0.26040, Power=0.31800
2023-08-05 10:04:04.777846 Hexa48 Chip 4 Power: On, Voltage=1.23652, Current=0.26303, Power=0.32524
2023-08-05 10:04:07.673000 Hexa44 Chip 1 Power: On, Voltage=1.22102, Current=0.26040, Power=0.31796
2023-08-05 10:04:07.673000 Hexa48 Chip 4 Power: On, Voltage=1.23652, Current=0.26301, Power=0.32521
2023-08-05 10:04:10.566468 Hexa44 Chip 1 Power: On, Voltage=1.22112, Current=0.26039, Power=0.31797
2023-08-05 10:04:10.566468 Hexa48 Chip 4 Power: On, Voltage=1.23649, Current=0.26304, Power=0.32525
2023-08-05 10:04:13.461229 Hexa44 Chip 1 Power: On, Voltage=1.22112, Current=0.26039, Power=0.31797
2023-08-05 10:04:13.461229 Hexa48 Chip 4 Power: On, Voltage=1.23640, Current=0.26303, Power=0.32521
2023-08-05 10:04:16.355304 Hexa44 Chip 1 Power: On, Voltage=1.22117, Current=0.26035, Power=0.31793
2023-08-05 10:04:16.355304 Hexa48 Chip 4 Power: On, Voltage=1.23654, Current=0.26305, Power=0.32527
2023-08-05 10:04:19.247685 Hexa44 Chip 1 Power: On, Voltage=1.22112, Current=0.26038, Power=0.31795
2023-08-05 10:04:19.247685 Hexa48 Chip 4 Power: On, Voltage=1.23652, Current=0.26303, Power=0.32524
2023-08-05 10:04:22.136972 Hexa44 Chip 1 Power: On, Voltage=1.22107, Current=0.26039, Power=0.31795
2023-08-05 10:04:22.136972 Hexa48 Chip 4 Power: On, Voltage=1.23652, Current=0.26303, Power=0.32524
2023-08-05 10:04:25.028548 Hexa44 Chip 1 Power: On, Voltage=1.22112, Current=0.26038, Power=0.31795
2023-08-05 10:04:25.028548 Hexa48 Chip 4 Power: On, Voltage=1.23645, Current=0.26302, Power=0.32521
2023-08-05 10:04:27.922297 Hexa44 Chip 1 Power: On, Voltage=1.22121, Current=0.26042, Power=0.31803
2023-08-05 10:04:27.922297 Hexa48 Chip 4 Power: On, Voltage=1.23649, Current=0.26304, Power=0.32525
2023-08-05 10:04:30.818974 Hexa44 Chip 1 Power: On, Voltage=1.22109, Current=0.26038, Power=0.31794
2023-08-05 10:04:30.818974 Hexa48 Chip 4 Power: On, Voltage=1.23657, Current=0.26304, Power=0.32526
2023-08-05 10:04:33.741766 Hexa44 Chip 1 Power: On, Voltage=1.22104, Current=0.26036, Power=0.31791
2023-08-05 10:04:33.741766 Hexa48 Chip 4 Power: On, Voltage=1.23645, Current=0.26305, Power=0.32525
2023-08-05 10:04:36.634455 Hexa44 Chip 1 Power: On, Voltage=1.22131, Current=0.26042, Power=0.31805
2023-08-05 10:04:36.634455 Hexa48 Chip 4 Power: On, Voltage=1.23652, Current=0.26305, Power=0.32527
2023-08-05 10:04:39.530630 Hexa44 Chip 1 Power: On, Voltage=1.22112, Current=0.26039, Power=0.31797
2023-08-05 10:04:39.530630 Hexa48 Chip 4 Power: On, Voltage=1.23649, Current=0.26305, Power=0.32526
2023-08-05 10:04:42.423692 Hexa44 Chip 1 Power: On, Voltage=1.22109, Current=0.26038, Power=0.31794
2023-08-05 10:04:42.423692 Hexa48 Chip 4 Power: On, Voltage=1.23654, Current=0.26304, Power=0.32526
2023-08-05 10:04:45.313900 Hexa44 Chip 1 Power: On, Voltage=1.22121, Current=0.26042, Power=0.31803
2023-08-05 10:04:45.313900 Hexa48 Chip 4 Power: On, Voltage=1.23654, Current=0.26304, Power=0.32526
